year,disaster_type,disaster_subtype,country,latitude,longitude,start_year,start_month,start_day,total_deaths,total_damages,event_name,associated_dis,dis_mag_scale,dis_mag_value
2017,Earthquake,Ground movement,Iran (Islamic Republic of),37.772,57.204,2017,5,13,3,2000,NA,NA,Richter,6
2017,Earthquake,Ground movement,Iran (Islamic Republic of),34.911,45.959,2017,11,12,444,740000,NA,NA,Richter,7
2017,Earthquake,Ground movement,Iran (Islamic Republic of),35.649,50.962,2017,12,20,2,NA,NA,NA,Richter,5
2017,Earthquake,Ground movement,Iraq,34.911,45.959,2017,11,12,10,NA,NA,NA,Richter,7
2017,Flood,Riverine flood,Italy,45.457,105.881,2017,12,11,NA,125000,NA,NA,Km2,27560
2017,Storm,Tropical cyclone,Japan,33.2,134,2017,8,5,2,2000,Typhoon 'Noru',NA,Kph,120
2017,Flood,Riverine flood,Kenya,-2.879,37.88,2017,5,8,26,NA,NA,NA,Km2,55028
2017,Flood,NA,Sri Lanka,8.604,80.637,2017,11,3,9,NA,NA,NA,Km2,22923
2017,Flood,Riverine flood,Mexico,23.917,-98.308,2017,9,26,2,NA,NA,NA,Km2,57675
2017,Flood,NA,Malaysia,5.247,101.026,2017,11,3,7,NA,NA,NA,Km2,37944
2017,Flood,NA,Niger (the),14.617,4.402,2017,8,26,56,10000,NA,NA,Km2,184437
2017,Flood,NA,Peru,-5.251,-77.573,2017,2,1,1,NA,NA,NA,Km2,288499
2017,Earthquake,Ground movement,Philippines (the),9.907,125.452,2017,2,10,8,13974,NA,NA,Richter,7
2017,Earthquake,Ground movement,Philippines (the),11.111,124.619,2017,7,6,3,4364,NA,NA,Richter,7
2017,Flood,NA,Philippines (the),7.59,124.062,2017,2,1,13,NA,NA,NA,Km2,30389
2018,Earthquake,Tsunami,Indonesia,-178,119.84,2018,9,28,4140,1450000,NA,Tsunami/Tidal wave,Richter,8
2018,Flood,Flash flood,Iran (Islamic Republic of),35.606,52.429,2018,10,5,9,166000,NA,"Slide (land, mud, snow, rock)",Km2,340197
2018,Flood,NA,Japan,35.65,137.895,2018,6,29,246,9500000,NA,"Slide (land, mud, snow, rock)",Km2,109672
2018,Flood,NA,Sri Lanka,6.806,80.637,2018,10,6,12,NA,NA,"Slide (land, mud, snow, rock)",Km2,29246
2018,Earthquake,Ground movement,Papua New Guinea,-6.149,142.766,2018,2,26,145,61000,NA,"Slide (land, mud, snow, rock)",Richter,8
2018,Earthquake,Ground movement,Indonesia,-8.287,116.452,2018,8,5,564,790000,NA,Tsunami/Tidal wave,Richter,7
2018,Flood,Flash flood,Guatemala,15.88,-90.217,2018,5,18,2,NA,NA,NA,Km2,67482
2018,Earthquake,Ground movement,Haiti,20.034,-73.013,2018,10,6,17,NA,NA,NA,Richter,6
2018,Earthquake,Ground movement,Indonesia,-7.196,105.918,2018,1,23,1,80000,NA,NA,Richter,6
2018,Earthquake,Ground movement,Indonesia,-8.274,116.491,2018,7,29,14,29000,NA,NA,Richter,6
2018,Earthquake,Ground movement,Indonesia,-8.325,116.577,2018,8,19,10,5000,NA,NA,Richter,7
2018,Earthquake,Ground movement,Iran (Islamic Republic of),34.645,46.179,2018,7,22,NA,10000,NA,NA,Richter,6
2018,Earthquake,Ground movement,Iran (Islamic Republic of),34.663,46.277,2018,8,26,2,NA,NA,NA,Richter,6
2018,Earthquake,Ground movement,Iran (Islamic Republic of),34.304,45.74,2018,11,25,NA,10000,NA,NA,Richter,6
2018,Flood,Flash flood,Israel,31.164,34.861,2018,4,24,12,NA,NA,NA,Km2,17900
2018,Earthquake,Ground movement,Japan,34.826,135.64,2018,6,18,5,3250000,NA,NA,Richter,6
2018,Flood,NA,Myanmar,18.191,95.434,2018,7,15,16,NA,NA,NA,Km2,46815
2018,Flood,NA,Malawi,-10.351,33.847,2018,2,1,1,NA,NA,NA,Km2,25660
2018,Flood,NA,Malawi,-11.158,34.02,2018,4,11,4,NA,NA,NA,Km2,37320
2018,Flood,NA,Malaysia,365.883,102.337,2018,1,1,2,NA,NA,NA,Km2,117492
2018,Flood,NA,Nigeria,10.475,8.238,2018,9,20,199,275000,NA,NA,Km2,257477
2018,Flood,Flash flood,Nepal,28.238,84.398,2018,7,1,15,NA,NA,NA,Km2,85852
2018,Earthquake,Ground movement,Peru,-15.759,74.71,2018,1,14,2,NA,NA,NA,Richter,7
2018,Earthquake,Ground movement,Papua New Guinea,-6.307,142.62,2018,3,5,11,NA,NA,NA,Richter,NA
2018,Earthquake,Ground movement,Papua New Guinea,-6.294,142.607,2018,3,7,25,NA,NA,NA,Richter,7
2018,Flood,NA,Korea (the Democratic People's Republic of),38.531,126.573,2018,8,24,148,25000,NA,NA,Km2,25734
2019,Flood,NA,Mexico,20.176,-103.182,2019,6,2,7,NA,NA,"Slide (land, mud, snow, rock)",Km2,34620
2019,Earthquake,Ground movement,Indonesia,-0.586,128.034,2019,7,14,8,NA,NA,Tsunami/Tidal wave,Richter,7
2019,Earthquake,Ground movement,Indonesia,-8.418,116.52,2019,3,17,9,NA,NA,NA,Richter,6
2019,Earthquake,Ground movement,Indonesia,-7.282,104.791,2019,8,2,6,NA,NA,NA,Richter,7
2019,Earthquake,Ground movement,Iran (Islamic Republic of),31.775,49.542,2019,7,8,1,NA,NA,NA,Richter,6
2019,Flood,NA,Japan,32.591,130.866,2019,6,29,2,NA,NA,NA,Km2,32382
2019,Flood,NA,Libya,24.555,12.691,2019,5,28,4,7100,NA,NA,Km2,151027
2019,Flood,NA,Mongolia,47.204,111.071,2019,6,15,12,NA,NA,NA,Km2,85984
2019,Flood,NA,Malawi,-14.53,34.317,2019,3,4,60,NA,NA,NA,Km2,77813
2019,Earthquake,Ground movement,Peru,-5.812,-75.27,2019,5,26,2,NA,NA,NA,Richter,8
2019,Earthquake,Ground movement,Philippines (the),14.99,120.35,2019,4,22,25,50000,NA,NA,Richter,6
2019,Earthquake,Ground movement,Philippines (the),20.807,121.986,2019,7,27,9,5258,NA,NA,Richter,6
1900,Earthquake,Ground movement,Turkey,40.3,43.1,1900,7,12,140,NA,NA,NA,Richter,6
1903,Earthquake,Ground movement,Turkey,39.1,42.4,1903,4,19,1700,NA,NA,NA,Richter,NA
1903,Earthquake,Ground movement,Turkey,40.9,42.7,1903,5,28,1000,NA,NA,NA,Richter,6
1904,Earthquake,Ground movement,Taiwan (Province of China),23.5,120.5,1904,4,24,3,NA,NA,NA,Richter,6
1904,Earthquake,Ground movement,Taiwan (Province of China),23.5,120.3,1904,11,6,145,NA,NA,NA,Richter,6
1906,Earthquake,Ground movement,Taiwan (Province of China),23.4,120.4,1906,4,13,15,NA,NA,NA,Richter,7
1909,Earthquake,Ground movement,Taiwan (Province of China),25,121.5,1909,4,15,9,NA,NA,NA,Richter,7
1910,Earthquake,Ground movement,Costa Rica,10,-84,1910,5,4,700,NA,NA,NA,Richter,NA
1913,Earthquake,Ground movement,China,24.15,102.45,1913,12,21,942,NA,NA,NA,Richter,7
1915,Earthquake,Ground movement,China,29.5,91.5,1915,12,3,170,NA,NA,NA,Richter,7
1920,Earthquake,Ground movement,Albania,40.2,20,1920,11,26,200,NA,NA,NA,Richter,6
1920,Earthquake,Ground movement,Argentina,-32.7,-68.4,1920,12,17,400,NA,NA,NA,Richter,6
1923,Earthquake,Ground movement,Colombia,1,-77.5,1923,12,14,300,NA,NA,NA,Richter,5
1924,Earthquake,Ground movement,China,36.983,164,1924,7,3,100,NA,NA,NA,Richter,7
1925,Earthquake,Ground movement,China,27,100,1925,10,15,12,NA,NA,NA,Richter,6
1930,Earthquake,Ground movement,Albania,40.5,19.5,1930,11,21,35,NA,NA,NA,Richter,6
